as_of_date,security_id,par_amount,book_value,market_value,database_date
2025-09-30,DQ7IE0FTV,14500000,14580228.5,14904970.5,2025-10-03
2025-04-30,RVV4PF374,6500000,6364312.5,5751648.5,2025-05-03
2025-09-30,M851Y65ZE,18100000,17666233.5,18287425.5,2025-10-03
2025-08-31,XWRWGY7W4,15200000,15131022.4,14518006.4,2025-09-03
2025-11-30,2W39AEZXG,7900000,7797552.8,8685165.2,2025-12-03
2025-12-31,VHF93XHZ7,2400000,2397040.8,2336764.8,2026-01-03
2025-10-31,VK4YN4WS3,3900000,3955270.8,3850302.3,2025-11-03
2025-05-31,BU1B58UOJ,23100000,22899030.0,23326772.7,2025-06-03
2025-08-31,QSGQCVL0P,21200000,20969874.0,21691267.6,2025-09-03
2025-02-28,ZXE7H13LL,1900000,1866729.1,1899213.4,2025-03-03
2025-08-31,RYHSQ0LD6,17800000,17250069.0,17079367.0,2025-09-03
2025-04-30,F4996VZB3,9800000,9950831.8,9643719.4,2025-05-03
2025-03-31,W77COTA0A,10700000,10407504.8,9624489.5,2025-04-03
2025-06-30,Z0P1QUO3L,8200000,8191004.6,8361351.4,2025-07-03
2025-11-30,SWAH8C2NH,14900000,14741195.8,14585386.5,2025-12-03
2025-10-31,PPDQ0XYS2,2500000,2490105.0,2388832.5,2025-11-03
2025-07-31,YTQS0JLHJ,1700000,1694315.2,1646188.2,2025-08-03
2025-02-28,QZMZEQYUV,6200000,6164102.0,6110937.0,2025-03-03
2025-06-30,JCEEYST39,9600000,9832790.4,9209644.8,2025-07-03
2025-12-31,SFWOSNOWG,20900000,20935718.1,19978330.9,2026-01-03
2025-10-31,JGB673A1M,20400000,20019213.6,20735294.4,2025-11-03
2025-10-31,BU1B58UOJ,25000000,24782500.0,24988175.0,2025-11-03
2025-06-30,XHETACNP9,18500000,18747807.5,19186350.0,2025-07-03
2025-08-31,77AC83R7N,25400000,24546102.8,26221410.6,2025-09-03
2025-05-31,F7G76ZDFS,17400000,17437549.2,16431985.8,2025-06-03
2025-12-31,0U2V1O3GA,1800000,1778509.8,1759669.2,2026-01-03
2025-11-30,ACWFGJ6SW,23600000,22500310.8,21961027.2,2025-12-03
2025-09-30,7Y376AS3A,21800000,21931715.6,21931301.4,2025-10-03
2025-02-28,M851Y65ZE,15500000,15128542.5,15973649.0,2025-03-03
2025-08-31,AMZ82XUGQ,5000000,5105030.0,5296720.0,2025-09-03
2025-11-30,IQ9KFUKG1,4900000,4823555.1,4884413.1,2025-12-03
2025-09-30,QSGQCVL0P,21200000,20969874.0,21455799.2,2025-10-03
2025-07-31,9QXT5L32T,8900000,8778310.3,9199983.4,2025-08-03
2025-12-31,VWN1AXARW,25600000,24942950.4,25030681.6,2026-01-03
2025-01-31,H0HGFB0NV,7900000,8077710.5,8208811.0,2025-02-03
2025-09-30,F5ZXP22RK,18800000,18936563.2,18856663.2,2025-10-03
2025-08-31,T4Q2CGF9M,11600000,11389576.0,12146998.0,2025-09-03
2025-05-31,EKZ7PYHFP,18000000,17935002.0,16436142.0,2025-06-03
2025-02-28,Z0P1QUO3L,8200000,8191004.6,8374397.6,2025-03-03
2025-07-31,JL7ZH6V32,6900000,6862125.9,6797390.1,2025-08-03
2025-04-30,W77COTA0A,10700000,10407504.8,9726492.6,2025-05-03
2025-04-30,N7Z68G2BD,13100000,13395627.7,12953895.7,2025-05-03
2025-02-28,GWIADZLNM,9800000,9964150.0,9715729.8,2025-03-03
2025-09-30,BRN4YWM4W,2500000,2456957.5,2473590.0,2025-10-03
2025-12-31,BPP99K7JP,7300000,7041521.6,6903478.6,2026-01-03
2025-03-31,ZXE7H13LL,1900000,1866729.1,1751906.69,2025-04-13
2025-09-30,9QXT5L32T,8900000,8778310.3,9367962.0,2025-10-03
2025-03-31,TX6WM71BU,7600000,7418124.4,7332434.4,2025-04-03
2025-09-30,GWIADZLNM,12300000,12506025.0,11955046.5,2025-10-03
2025-09-30,3JGH5S75L,3300000,3274916.7,3189219.0,2025-10-03
2025-02-28,QSGQCVL0P,21200000,20969874.0,20762686.4,2025-03-03
2025-02-28,MBL9ZSN6D,24000000,23534664.0,23182416.0,2025-03-03
2025-04-30,MBL9ZSN6D,24000000,23534664.0,22833168.0,2025-05-03
2025-09-30,F4996VZB3,5800000,5889267.8,5860331.6,2025-10-03
2025-09-30,A0ETNRG33,13900000,13140170.4,13554765.7,2025-10-03
2025-01-31,SQUBO2P2A,20000000,19630580.0,20037140.0,2025-02-03
2025-10-31,J723UFW32,4600000,4583292.8,4529684.4,2025-11-03
2025-07-31,57FALF6HP,12000000,12042084.0,11120064.0,2025-08-03
2025-05-31,PSX36784P,19000000,18967149.0,18162803.0,2025-06-03
2025-03-31,XWRWGY7W4,15200000,15131022.4,14491072.0,2025-04-03
2025-09-30,SFWOSNOWG,20900000,20935718.1,19714363.9,2025-10-03
2025-03-31,M851Y65ZE,15500000,15128542.5,15681319.0,2025-04-03
2025-10-31,70PTTP6WP,16400000,16320755.2,15895946.0,2025-11-03
2025-05-31,NLP599VY4,3800000,3828868.6,3650017.8,2025-06-03
2025-08-31,2W39AEZXG,7900000,7797552.8,8420191.3,2025-09-03
2025-05-31,QUSNB5HND,12300000,12258376.8,12445545.9,2025-06-03
2025-04-30,0X3DQ57DL,13200000,13203498.0,13156347.6,2025-05-03
2025-08-31,DQ7IE0FTV,14500000,14580228.5,14971119.5,2025-09-03
2025-06-30,516Y1ZY06,18000000,17685684.0,17672850.0,2025-07-03
2025-02-28,F5ZXP22RK,18800000,18936563.2,19101307.6,2025-03-03
2025-05-31,ZWM2G6B6P,2900000,2818997.2,3112045.1,2025-06-03
2025-05-31,PPDQ0XYS2,2500000,2490105.0,2348887.5,2025-06-03
2025-09-30,NLP599VY4,3800000,3828868.6,3714792.6,2025-10-03
2025-10-31,EKZ7PYHFP,18000000,17935002.0,16311564.0,2025-11-03
2025-09-30,JL7ZH6V32,6900000,6862125.9,6716701.5,2025-10-03
2025-05-31,GWIADZLNM,12300000,12506025.0,12308462.4,2025-06-03
2025-11-30,3JGH5S75L,3300000,3274916.7,3142530.6,2025-12-03
2025-12-31,W77COTA0A,10700000,10407504.8,9996656.9,2026-01-03
2025-10-31,ZWM2G6B6P,2900000,2818997.2,3100749.6,2025-11-03
2025-01-31,F5ZXP22RK,18800000,18936563.2,18612300.8,2025-02-03
2025-12-31,RVV4PF374,6500000,6364312.5,5740631.0,2026-01-03
2025-03-31,XHETACNP9,18500000,18747807.5,19146408.5,2025-04-03
2025-06-30,57FALF6HP,12000000,12042084.0,11082816.0,2025-07-03
2025-11-30,DQ7IE0FTV,14500000,14580228.5,15043116.89,2025-12-13
2025-03-31,N7Z68G2BD,13100000,13395627.7,12984353.2,2025-04-03
2025-02-28,BU1B58UOJ,23100000,22899030.0,23218433.7,2025-03-03
2025-08-31,SQUBO2P2A,23700000,23262237.3,24031657.8,2025-09-03
2025-12-31,F4996VZB3,5800000,5889267.8,5902509.2,2026-01-03
2025-04-30,GWIADZLNM,12300000,12506025.0,12252620.4,2025-05-03
2025-02-28,H0HGFB0NV,7900000,8077710.5,8242101.6,2025-03-03
2025-04-30,F7G76ZDFS,17400000,17437549.2,16669722.0,2025-05-03
2025-02-28,RYHSQ0LD6,17800000,17250069.0,17468208.0,2025-03-03
2025-10-31,QZMZEQYUV,9500000,9444995.0,9618189.5,2025-11-03
2025-12-31,516Y1ZY06,18000000,17685684.0,18020376.0,2026-01-03
2025-01-31,2W39AEZXG,7900000,7797552.8,8067424.7,2025-02-03
2025-04-30,Z0P1QUO3L,8200000,8191004.6,8344426.6,2025-05-03
2025-02-28,77AC83R7N,25400000,24546102.8,25924865.6,2025-03-03
2025-11-30,1060VXN0Z,29700000,29952687.6,29592278.1,2025-12-03
2025-07-31,9FYHXS77C,23300000,22628354.2,23880869.0,2025-08-03
2025-12-31,BRN4YWM4W,2500000,2456957.5,2475827.5,2026-01-03
2025-10-31,42KX0JJRN,4300000,4208216.5,4304312.9,2025-11-03
2025-07-31,H1DVRLE0Y,6100000,6080284.8,6438153.5,2025-08-03
2025-11-30,1AMUISU25,5900000,5809700.5,6052166.9,2025-12-03
2025-05-31,7RRU96WRX,24800000,24190416.0,24740108.0,2025-06-03
2025-09-30,ACWFGJ6SW,23600000,22500310.8,22419103.2,2025-10-03
2025-06-30,VWN1AXARW,25600000,24942950.4,25419468.8,2025-07-03
2025-01-31,XMQXAE3CS,5100000,5204958.0,5061219.6,2025-02-03
2025-01-31,VK4YN4WS3,3900000,3955270.8,3821149.8,2025-02-03
2025-10-31,AMZ82XUGQ,5000000,5105030.0,5341910.0,2025-11-03
2025-08-31,TFYI3F2JS,6700000,6607875.0,6852217.3,2025-09-03
2025-09-30,N7Z68G2BD,13100000,13395627.7,12828332.2,2025-10-03
2025-01-31,F7G76ZDFS,17400000,17437549.2,16648267.8,2025-02-03
2025-05-31,Z0P1QUO3L,8200000,8191004.6,8364254.2,2025-06-03
2025-09-30,PAN8DGGZO,9200000,9099480.8,9421030.0,2025-10-03
2025-11-30,W77COTA0A,10700000,10407504.8,9859547.1,2025-12-03
2025-07-31,H0HGFB0NV,7900000,8077710.5,7666855.2,2025-08-03
2025-02-28,PAN8DGGZO,12200000,12066702.8,12526508.6,2025-03-03
2025-02-28,2W39AEZXG,7900000,7797552.8,8255239.3,2025-03-03
2025-09-30,VWN1AXARW,25600000,24942950.4,25272268.8,2025-10-03
2025-06-30,SQUBO2P2A,23700000,23262237.3,24429746.7,2025-07-03
2025-08-31,M851Y65ZE,18100000,17666233.5,18030876.1,2025-09-03
2025-05-31,RYHSQ0LD6,17800000,17250069.0,17244248.4,2025-06-03
2025-03-31,JCEEYST39,13600000,13929786.4,13172620.0,2025-04-03
2025-04-30,9G5QIVWML,22700000,22606816.5,20774063.9,2025-05-03
2025-07-31,GH963PM7A,17100000,17625209.4,17088098.4,2025-08-03
2025-01-31,BU1B58UOJ,23100000,22899030.0,23341395.0,2025-02-03
2025-04-30,BU1B58UOJ,23100000,22899030.0,,2025-05-03
2025-02-28,3JGH5S75L,3300000,3274916.7,3360399.9,2025-03-03
2025-06-30,42KX0JJRN,4300000,4208216.5,4420563.4,2025-07-03
2025-12-31,H0HGFB0NV,5900000,6032720.5,5754004.5,2026-01-03
2025-08-31,ZWM2G6B6P,2900000,2818997.2,3088311.5,2025-09-03
2025-10-31,3QHXPR1U3,4900000,4882159.1,4801696.2,2025-11-03
2025-11-30,GH963PM7A,13100000,13502353.4,13264732.5,2025-12-03
2025-10-31,Q14AFA9CM,16000000,16099856.0,15731504.0,2025-11-03
2025-04-30,7RRU96WRX,24800000,24190416.0,24796131.2,2025-05-03
2025-12-31,SQUBO2P2A,26300000,25814212.7,26183385.8,2026-01-03
2025-05-31,1AMUISU25,7900000,7779090.5,8104941.8,2025-06-03
2025-02-28,VHF93XHZ7,2400000,2397040.8,2385004.8,2025-03-03
2025-05-31,3JGH5S75L,3300000,3274916.7,3153077.4,2025-06-03
2025-01-31,GWIADZLNM,9800000,9964150.0,9808918.0,2025-02-03
2025-12-31,7Y376AS3A,23600000,23742591.2,23905714.4,2026-01-03
2025-01-31,NLP599VY4,3800000,3828868.6,3629820.8,2025-02-03
2025-04-30,QZMZEQYUV,9500000,9444995.0,9513442.5,2025-05-03
2025-11-30,DQ7IE0FTV,14500000,14580228.5,14914352.0,2025-12-03
2025-02-28,9QXT5L32T,8900000,8778310.3,9203605.7,2025-03-03
2025-08-31,F5ZXP22RK,18800000,18936563.2,18961680.0,2025-09-03
2025-10-31,W77COTA0A,10700000,10407504.8,9783084.9,2025-11-03
2025-02-28,JGB673A1M,17100000,16780811.4,17691523.2,2025-03-03
2025-12-31,7RRU96WRX,24800000,24190416.0,25207836.0,2026-01-03
2025-07-31,1060VXN0Z,22400000,22590579.2,21883724.8,2025-08-03
2025-10-31,H1DVRLE0Y,6100000,6080284.8,6567443.0,2025-11-03
2025-01-31,42KX0JJRN,4300000,4208216.5,4311167.1,2025-02-03
2025-09-30,SQUBO2P2A,26300000,25814212.7,26731030.7,2025-10-03
2025-06-30,NLP599VY4,3800000,3828868.6,3630470.6,2025-07-03
2025-06-30,7RRU96WRX,24800000,24190416.0,24859247.2,2025-07-03
2025-05-31,9G5QIVWML,22700000,22606816.5,20786231.1,2025-06-03
2025-01-31,3QHXPR1U3,9000000,8967231.0,8756271.0,2025-02-03
2025-05-31,GH963PM7A,21100000,21748065.4,20635209.2,2025-06-03
2025-11-30,Z0P1QUO3L,6200000,6193198.6,6360102.6,2025-12-03
2025-09-30,77AC83R7N,25400000,24546102.8,26607211.2,2025-10-03
2025-10-31,0U2V1O3GA,1800000,1778509.8,1785841.2,2025-11-03
2025-10-31,77AC83R7N,25400000,24546102.8,26648003.6,2025-11-03
2025-06-30,3JGH5S75L,3300000,3274916.7,3172913.7,2025-07-03
2025-07-31,PSX36784P,19000000,18967149.0,18055662.0,2025-08-03
2025-08-31,JCEEYST39,9600000,9832790.4,9019804.8,2025-09-03
2025-04-30,UDV04Q028,9600000,9467193.6,,2025-05-03
2025-03-31,VWN1AXARW,25600000,24942950.4,25558604.8,2025-04-03
2025-01-31,SFWOSNOWG,20900000,20935718.1,19759152.6,2025-02-03
2025-08-31,M76L42UT4,19500000,19213194.0,19239441.0,2025-09-03
2025-12-31,UDV04Q028,5600000,5522529.6,5492424.0,2026-01-03
2025-08-31,SWAH8C2NH,14900000,14741195.8,14921873.2,2025-09-03
2025-04-30,XWRWGY7W4,15200000,15131022.4,14326912.0,2025-05-03
2025-03-31,SWAH8C2NH,11900000,11773169.8,12012931.0,2025-04-03
2025-06-30,VHF93XHZ7,2400000,2397040.8,2345642.4,2025-07-03
2025-05-31,DQ7IE0FTV,14500000,14580228.5,14878087.5,2025-06-03
2025-10-31,MBL9ZSN6D,16000000,15689776.0,15068064.0,2025-11-03
2025-11-30,F7G76ZDFS,19100000,19141217.8,18111384.0,2025-12-03
2025-03-31,VHF93XHZ7,2400000,2397040.8,2346981.6,2025-04-03
2025-05-31,BU1B58UOJ,23100000,22899030.0,23499694.95,2025-06-13
2025-08-31,9G5QIVWML,27800000,27685881.0,24938268.0,2025-09-03
2025-09-30,516Y1ZY06,18000000,17685684.0,17799786.0,2025-10-03
2025-10-31,FH5KSL4JL,13900000,13785658.6,14504566.6,2025-11-03
2025-08-31,PAN8DGGZO,9200000,9099480.8,9238814.8,2025-09-03
2025-03-31,0X3DQ57DL,13200000,13203498.0,13305402.0,2025-04-03
2025-03-31,Z0P1QUO3L,8200000,8191004.6,,2025-04-03
2025-09-30,9G5QIVWML,27800000,27685881.0,25018248.6,2025-10-03
2025-07-31,QZMZEQYUV,9500000,9444995.0,9621467.0,2025-08-03
2025-12-31,9FYHXS77C,19300000,18743658.2,20109403.4,2026-01-03
2025-07-31,0U2V1O3GA,1800000,1778509.8,1763566.2,2025-08-03
2025-06-30,W77COTA0A,10700000,10407504.8,9787290.0,2025-07-03
2025-10-31,H35A0KKW1,8900000,9158117.8,8877011.3,2025-11-03
2025-11-30,9FYHXS77C,19300000,18743658.2,19999798.7,2025-12-03
2025-02-28,SFWOSNOWG,20900000,20935718.1,19506158.1,2025-03-03
2025-03-31,BPP99K7JP,7300000,7041521.6,6829880.0,2025-04-03
2025-11-30,Q14AFA9CM,16000000,16099856.0,15665776.0,2025-12-03
2025-09-30,VHF93XHZ7,2400000,2397040.8,2282798.4,2025-10-03
2025-10-31,M851Y65ZE,18100000,17666233.5,18157123.6,2025-11-03
2025-03-31,T4Q2CGF9M,11600000,11389576.0,11939694.4,2025-04-03
2025-11-30,RVV4PF374,6500000,6364312.5,,2025-12-03
2025-08-31,3JGH5S75L,3300000,3274916.7,3205989.6,2025-09-03
2025-11-30,JCEEYST39,9600000,9832790.4,8811072.0,2025-12-03
2025-02-28,H35A0KKW1,8900000,9158117.8,9080874.7,2025-03-03
2025-08-31,VWN1AXARW,25600000,24942950.4,25308390.4,2025-09-03
2025-08-31,3QHXPR1U3,4900000,4882159.1,4830091.7,2025-09-03
2025-05-31,JGB673A1M,17100000,16780811.4,18108660.6,2025-06-03
2025-01-31,TFYI3F2JS,10700000,10552875.0,10678022.2,2025-02-03
2025-05-31,MBL9ZSN6D,20000000,19612220.0,19122920.0,2025-06-03
2025-12-31,77AC83R7N,33300000,32180520.6,34759738.8,2026-01-03
2025-08-31,VHF93XHZ7,2400000,2397040.8,2278068.0,2025-09-03
2025-11-30,RYHSQ0LD6,17800000,17250069.0,17024507.4,2025-12-03
2025-08-31,GWIADZLNM,12300000,12506025.0,12033237.6,2025-09-03
2025-11-30,7Y376AS3A,23600000,23742591.2,23841664.0,2025-12-03
2025-05-31,A0ETNRG33,13900000,13140170.4,13767491.3,2025-06-03
2025-12-31,M76L42UT4,19500000,19213194.0,18890137.5,2026-01-03
2025-03-31,7Y376AS3A,21800000,21931715.6,21147242.6,2025-04-03
2025-03-31,42KX0JJRN,4300000,4208216.5,4290036.9,2025-04-03
2025-03-31,ZXE7H13LL,1900000,1866729.1,1737745.7,2025-04-03
2025-07-31,CUME7DYT1,3100000,3059368.3,3237447.8,2025-08-03
2025-01-31,EKZ7PYHFP,18000000,17935002.0,17624286.0,2025-02-03
2025-08-31,F4996VZB3,5800000,5889267.8,5765669.8,2025-09-03
2025-03-31,JGB673A1M,17100000,16780811.4,17881846.2,2025-04-03
2025-05-31,F4996VZB3,9800000,9950831.8,9677715.6,2025-06-03
2025-10-31,UDV04Q028,5600000,5522529.6,5519460.8,2025-11-03
2025-10-31,RYHSQ0LD6,17800000,17250069.0,16867547.0,2025-11-03
2025-03-31,BRN4YWM4W,2400000,2358679.2,2356725.6,2025-04-03
2025-04-30,0U2V1O3GA,1800000,1778509.8,1780135.2,2025-05-03
2025-03-31,H0HGFB0NV,7900000,8077710.5,7619644.8,2025-04-03
2025-10-31,N7Z68G2BD,13100000,13395627.7,12956031.0,2025-11-03
2025-08-31,N7Z68G2BD,13100000,13395627.7,12864147.6,2025-09-03
2025-10-31,TX6WM71BU,12700000,12396076.3,12339612.1,2025-11-03
2025-03-31,UDV04Q028,9600000,9467193.6,9674851.2,2025-04-03
2025-03-31,9G5QIVWML,22700000,22606816.5,20744599.3,2025-04-03
2025-01-31,GH963PM7A,21100000,21748065.4,20911956.8,2025-02-03
2025-04-30,JL7ZH6V32,6900000,6862125.9,6603700.2,2025-05-03
2025-09-30,VK4YN4WS3,3900000,3955270.8,3850243.8,2025-10-03
2025-03-31,F4996VZB3,9800000,9950831.8,9625021.0,2025-04-03
2025-02-28,TFYI3F2JS,10700000,10552875.0,10825404.0,2025-03-03
2025-07-31,BPP99K7JP,7300000,7041521.6,6823258.9,2025-08-03
2025-03-31,3JGH5S75L,3300000,3274916.7,3135006.6,2025-04-03
2025-03-31,PPDQ0XYS2,2500000,2490105.0,2377157.5,2025-04-03
2025-06-30,RYHSQ0LD6,17800000,17250069.0,17070431.4,2025-07-03
2025-02-28,XHETACNP9,18500000,18747807.5,19254374.5,2025-03-03
2025-12-31,H35A0KKW1,8900000,9158117.8,9065121.7,2026-01-03
2025-09-30,ZWM2G6B6P,2900000,2818997.2,3069316.5,2025-10-03
2025-02-28,NLP599VY4,3800000,3828868.6,3631705.6,2025-03-03
2025-06-30,F4996VZB3,9800000,9950831.8,9693885.6,2025-07-03
2025-07-31,XHETACNP9,14500000,14694227.5,15054813.5,2025-08-03
2025-09-30,QZMZEQYUV,9500000,9444995.0,9655372.5,2025-10-03
2025-11-30,VK4YN4WS3,3900000,3955270.8,3847962.3,2025-12-03
2025-10-31,0X3DQ57DL,13200000,13203498.0,12930099.6,2025-11-03
2025-08-31,0U2V1O3GA,1800000,1778509.8,1755475.2,2025-09-03
2025-02-28,BPP99K7JP,7300000,7041521.6,7231708.5,2025-03-03
2025-09-30,W77COTA0A,10700000,10407504.8,9810123.8,2025-10-03
2025-06-30,H0HGFB0NV,7900000,8077710.5,7613388.0,2025-07-03
2025-03-31,57FALF6HP,5900000,5920691.3,5595577.7,2025-04-03
2025-11-30,FH5KSL4JL,13900000,13785658.6,14469872.2,2025-12-03
2025-06-30,TFYI3F2JS,6700000,6607875.0,6749231.6,2025-07-03
2025-03-31,77AC83R7N,25400000,24546102.8,25803123.4,2025-04-03
2025-02-28,516Y1ZY06,18000000,17685684.0,17832096.0,2025-03-03
2025-11-30,TX6WM71BU,12700000,12396076.3,12227356.8,2025-12-03
2025-08-31,0X3DQ57DL,13200000,13203498.0,12798482.4,2025-09-03
2025-09-30,H1DVRLE0Y,6100000,6080284.8,6520119.2,2025-10-03
2025-01-31,XWRWGY7W4,15200000,15131022.4,14565628.0,2025-02-03
2025-01-31,VHF93XHZ7,2400000,2397040.8,2370964.8,2025-02-03
2025-12-31,42KX0JJRN,4300000,4208216.5,4286489.4,2026-01-03
2025-04-30,J723UFW32,7600000,7572396.8,7608474.0,2025-05-03
2025-12-31,RYHSQ0LD6,17800000,17250069.0,17044906.2,2026-01-03
2025-07-31,M76L42UT4,19500000,19213194.0,19108674.0,2025-08-03
2025-07-31,VHF93XHZ7,2400000,2397040.8,2300246.4,2025-08-03
2025-12-31,QZMZEQYUV,9500000,9444995.0,9755968.0,2026-01-03
2025-10-31,PSX36784P,19000000,18967149.0,18221304.0,2025-11-03
2025-06-30,SWAH8C2NH,14900000,14741195.8,15139800.6,2025-07-03
2025-12-31,M851Y65ZE,20100000,19618303.5,20355732.3,2026-01-03
2025-03-31,RVV4PF374,6500000,6364312.5,5661337.5,2025-04-03
2025-05-31,XMQXAE3CS,9700000,9899626.0,9416789.1,2025-06-03
2025-07-31,NLP599VY4,3800000,3828868.6,3637496.8,2025-08-03
2025-11-30,M851Y65ZE,18100000,17666233.5,18133267.8,2025-12-03
2025-03-31,1060VXN0Z,22400000,22590579.2,21709318.4,2025-04-03
2025-02-28,7Y376AS3A,21800000,21931715.6,21044455.6,2025-03-03
2025-07-31,FH5KSL4JL,13900000,13785658.6,14221117.8,2025-08-03
2025-10-31,M76L42UT4,19500000,19213194.0,18698823.0,2025-11-03
2025-08-31,JGB673A1M,17100000,16780811.4,17716489.2,2025-09-03
2025-09-30,1060VXN0Z,22400000,22590579.2,22260806.4,2025-10-03
2025-10-31,BPP99K7JP,7300000,7041521.6,6874950.2,2025-11-03
2025-05-31,T4Q2CGF9M,11600000,11389576.0,11898096.8,2025-06-03
2025-12-31,H1DVRLE0Y,6100000,6080284.8,6474716.9,2026-01-03
2025-10-31,RVV4PF374,6500000,6364312.5,5775406.0,2025-11-03
2025-02-28,SWAH8C2NH,11900000,11773169.8,12274885.7,2025-03-03
2025-12-31,JL7ZH6V32,6900000,6862125.9,6593985.0,2026-01-03
2025-04-30,ZWM2G6B6P,2900000,2818997.2,3115687.5,2025-05-03
2025-05-31,42KX0JJRN,4300000,4208216.5,4400602.8,2025-06-03
2025-05-31,SWAH8C2NH,14900000,14741195.8,15025607.0,2025-06-03
2025-12-31,Z0P1QUO3L,6200000,6193198.6,6346059.6,2026-01-03
2025-10-31,A0ETNRG33,13900000,13140170.4,13482138.2,2025-11-03
2025-02-28,J723UFW32,7600000,7572396.8,7737605.6,2025-03-03
2025-10-31,GWIADZLNM,12300000,12506025.0,11891221.8,2025-11-03
2025-05-31,H0HGFB0NV,7900000,8077710.5,7652848.5,2025-06-03
2025-10-31,H0HGFB0NV,5900000,6032720.5,5808349.4,2025-11-03
2025-09-30,QUSNB5HND,12300000,12258376.8,12435558.3,2025-10-03
2025-09-30,XHETACNP9,14500000,14694227.5,15129372.5,2025-10-03
2025-11-30,JL7ZH6V32,6900000,6862125.9,6622675.2,2025-12-03
2025-02-28,FH5KSL4JL,13900000,13785658.6,14217503.8,2025-03-03
2025-05-31,9FYHXS77C,23300000,22628354.2,23572400.3,2025-06-03
2025-06-30,JL7ZH6V32,6900000,6862125.9,6863091.9,2025-07-03
2025-09-30,RVV4PF374,6500000,6364312.5,5698550.0,2025-10-03
2025-10-31,QUSNB5HND,12300000,12258376.8,12421204.2,2025-11-03
2025-01-31,PPDQ0XYS2,2500000,2490105.0,2398472.5,2025-02-03
2025-08-31,SFWOSNOWG,20900000,20935718.1,19747741.2,2025-09-03
2025-07-31,DQ7IE0FTV,14500000,14580228.5,15009834.5,2025-08-03
2025-10-31,ACWFGJ6SW,23600000,22500310.8,22283474.0,2025-11-03
2025-09-30,PPDQ0XYS2,2500000,2490105.0,2360152.5,2025-10-03
2025-06-30,VK4YN4WS3,3900000,3955270.8,3821766.0,2025-07-03
2025-01-31,VWN1AXARW,23300000,22701982.2,23576454.5,2025-02-03
2025-07-31,0X3DQ57DL,13200000,13203498.0,12862053.6,2025-08-03
2025-06-30,9G5QIVWML,22700000,22606816.5,20667215.0,2025-07-03
2025-12-31,MBL9ZSN6D,16000000,15689776.0,15309312.0,2026-01-03
2025-09-30,BU1B58UOJ,25000000,24782500.0,24934550.0,2025-10-03
2025-01-31,PAN8DGGZO,12200000,12066702.8,12582226.0,2025-02-03
2025-07-31,F5ZXP22RK,18800000,18936563.2,18996253.2,2025-08-03
2025-03-31,YTQS0JLHJ,1700000,1694315.2,1683028.9,2025-04-03
2025-06-30,ZWM2G6B6P,2900000,2818997.2,3141100.73,2025-07-13
2025-02-28,F7G76ZDFS,17400000,17437549.2,16592553.0,2025-03-03
2025-05-31,XHETACNP9,18500000,18747807.5,19374051.0,2025-06-03
2025-01-31,7Y376AS3A,21800000,21931715.6,,2025-02-03
2025-08-31,XHETACNP9,14500000,14694227.5,,2025-09-03
2025-05-31,M76L42UT4,19500000,19213194.0,19028275.5,2025-06-03
2025-07-31,UDV04Q028,9600000,9467193.6,9674755.2,2025-08-03
2025-06-30,J723UFW32,4600000,4583292.8,4615594.0,2025-07-03
2025-11-30,BPP99K7JP,7300000,7041521.6,6901748.5,2025-12-03
2025-08-31,7RRU96WRX,24800000,24190416.0,24988138.63,2025-09-13
2025-04-30,TFYI3F2JS,6700000,6607875.0,6720770.0,2025-05-03
2025-05-31,JCEEYST39,9600000,9832790.4,9126662.4,2025-06-03
2025-10-31,1060VXN0Z,29700000,29952687.6,29581526.7,2025-11-03
2025-04-30,2W39AEZXG,7900000,7797552.8,8357789.2,2025-05-03
2025-03-31,J723UFW32,7600000,7572396.8,7677413.6,2025-04-03
2025-10-31,516Y1ZY06,18000000,17685684.0,17952426.0,2025-11-03
2025-12-31,EKZ7PYHFP,18000000,17935002.0,16422336.0,2026-01-03
2025-03-31,TFYI3F2JS,10700000,10552875.0,10757330.6,2025-04-03
2025-08-31,CUME7DYT1,3100000,3059368.3,3313016.5,2025-09-03
2025-09-30,T4Q2CGF9M,11600000,11389576.0,12006986.0,2025-10-03
2025-03-31,H35A0KKW1,8900000,9158117.8,9103258.2,2025-04-03
2025-08-31,BRN4YWM4W,2500000,2456957.5,2488957.5,2025-09-03
2025-10-31,9QXT5L32T,8900000,8778310.3,9415140.9,2025-11-03
2025-09-30,J723UFW32,4600000,4583292.8,4581857.6,2025-10-03
2025-12-31,9G5QIVWML,27800000,27685881.0,25067204.4,2026-01-03
2025-10-31,9G5QIVWML,27800000,27685881.0,25174679.2,2025-11-03
2025-07-31,7Y376AS3A,21800000,21931715.6,21860211.6,2025-08-03
2025-05-31,PAN8DGGZO,12200000,12066702.8,12324806.0,2025-06-03
2025-05-31,2W39AEZXG,7900000,7797552.8,8435240.8,2025-06-03
2025-05-31,VK4YN4WS3,3900000,3955270.8,3774693.0,2025-06-03
2025-10-31,3QPGK1A7G,4100000,4073489.4,4208949.3,2025-11-03
2025-09-30,AMZ82XUGQ,5000000,5105030.0,5377335.0,2025-10-03
2025-09-30,PSX36784P,19000000,18967149.0,18413698.0,2025-10-03
2025-12-31,JCEEYST39,9600000,9832790.4,8751369.6,2026-01-03
2025-05-31,BRN4YWM4W,2400000,2358679.2,2321306.4,2025-06-03
